m_id,me_id
FA160ACPHi,FA160ACPHi1
FA161ACPHi,FA161ACPHi1
FA80ACPHi,FA80ACPHi1
FLDR2,FLDR21
FLDR2,FLDR22
G3PAT120,G3PAT1201
G3PAT140,G3PAT1401
G3PAT141,G3PAT1411
G3PAT160,G3PAT1601
G3PAT161,G3PAT1611
G3PAT180,G3PAT1801
G3PAT181,G3PAT1811
GRXR,GRXR1
GRXR,GRXR2
GRXR,GRXR3
GRXR,GRXR4
ICHORS_copy1,ICHORSi
ICHORS_copy2_b,ICHORS_b
ICHORS_copy2_f,ICHORS_f
KAS14,KAS141
KAS15,KAS151
MACPD,MACPD1
MCOATA_b,MCOATA1_b
MCOATA_f,MCOATA1_f
MECDPDH5,MECDPDH51
MECDPDH5,MECDPDH52
METSOXR1,METSOXR11
METSOXR1,METSOXR12
METSOXR2,METSOXR21
METSOXR2,METSOXR22
MOADSUx,MOADSUx1
MPTS,MPTS1
MPTSS,MPTSS1
OGMEACPD,OGMEACPD1
OGMEACPR,OGMEACPR1
OGMEACPS,OGMEACPS1
OPMEACPD,OPMEACPD1
OPMEACPR,OPMEACPR1
OPMEACPS,OPMEACPS1
PAPSR,PAPSR1
PAPSR,PAPSR2
PAPSR2,PAPSR21
PAPSR2,PAPSR22
PAPSR2,PAPSR23
PAPSR2,PAPSR24
PDX5PS,PDX5PS1
PDX5PS,PDX5PS2
PMEACPE,PMEACPE1
POR5_b,POR51_b
POR5_f,POR51_f
POR5_b,POR52_b
POR5_f,POR52_f
PPK,PPKr
PPK2,PPK2r
RNDR1,RNDR11
RNDR1,RNDR12
RNDR1b,RNDR1b1
RNDR1b,RNDR1b2
RNDR1b,RNDR1b3
RNDR1b,RNDR1b4
RNDR2,RNDR21
RNDR2,RNDR22
RNDR2b,RNDR2b1
RNDR2b,RNDR2b2
RNDR2b,RNDR2b3
RNDR2b,RNDR2b4
RNDR3,RNDR31
RNDR3,RNDR32
RNDR3b,RNDR3b1
RNDR3b,RNDR3b2
RNDR3b,RNDR3b3
RNDR3b,RNDR3b4
RNDR4,RNDR41
RNDR4,RNDR42
RNDR4b,RNDR4b1
RNDR4b,RNDR4b2
RNDR4b,RNDR4b3
RNDR4b,RNDR4b4
RNTR1c2,RNTR1c21
RNTR1c2,RNTR1c22
RNTR2c2,RNTR2c21
RNTR2c2,RNTR2c22
RNTR3c2,RNTR3c21
RNTR3c2,RNTR3c22
RNTR4c2,RNTR4c21
RNTR4c2,RNTR4c22
SULR,SULRi
T2DECAI_b,T2DECAI1_b
T2DECAI_f,T2DECAI1_f
TDSR1,TDSR11
TDSR2,TDSR21
THIORDXi,THIORDXi1
THIORDXi,THIORDXi2
THZPSN3,THZPSN31
TRDR,TRDR1
TRDR,TRDR2
U23GAAT,U23GAAT1
THRA,THRAi
THRA2,THRA2i
UAGAAT_f,UAGAAT1_f
UAGAAT_b,UAGAAT1_b
