m_id,me_id
ALATRS,
ARGTRS,
ASNTRS,
ASPTRS,
ATPM,
BIOMASS_Ec_iJO1366_core_53p95M,
BIOMASS_Ec_iJO1366_WT_53p95M,
BTS5,BTS6
BWCOGDS1,
BWCOGDS2,
BWCOS,
CYSTRS,
FESD1s,
FESD2s,
FESR,
FMETTRS,
GLNTRS,
GLUTRS,
GLYTRS,
HISTRS,
L_LACD2,L__LACD2
L_LACD3,L__LACD3
LYSTRS,
METTRS,
OCTNLL,
PHETRS,
PROTRS,
SELCYSS,
SERTRS,
SERTRS2,
THRTRS,
TRPTRS ,
TYRTRS,
VALTRS,
WCOS,
TRPTRS,
LEUTRS,
TRPTRS,
ILETRS,
3OAR100_b,3OAR1001_b
3OAR100_f,3OAR1001_f
3OAR120_b,3OAR1201_b
3OAR120_f,3OAR1201_f
3OAR140_b,3OAR1401_b
3OAR140_f,3OAR1401_f
3OAR160_b,3OAR1601_b
3OAR160_f,3OAR1601_f
3OAR180_b,3OAR1801_b
3OAR180_f,3OAR1801_f
3OAR40_b,3OAR401_b
3OAR40_f,3OAR401_f
3OAR60_b,3OAR601_b
3OAR60_f,3OAR601_f
3OAR80_b,3OAR801_b
3OAR80_f,3OAR801_f
3OAS80,3OAS801
AACPS1,AACPS11
AACPS2,AACPS21
AACPS3,AACPS31
AACPS4,AACPS41
AACPS5,AACPS51
AACPS6,AACPS61
AACPS7,AACPS71
AACPS8,AACPS81
AACPS9,AACPS91
3HAD100,3HAD1001
3HAD120,3HAD1201
3HAD121,3HAD1211
3HAD140,3HAD1401
3HAD141,3HAD1411
3HAD160,3HAD1601
3HAD161,3HAD1611
3HAD180,3HAD1801
3HAD181,3HAD1811
3HAD40,3HAD401
3HAD60,3HAD601
3HAD80,3HAD801
3OAR121,3OAR1211
3OAR141,3OAR1411
3OAR161,3OAR1611
3OAR181,3OAR1811
3OAS100,3OAS1001
3OAS120,3OAS1201
3OAS121,3OAS1211
3OAS140,3OAS1401
3OAS141,3OAS1411
3OAS160,3OAS1601
3OAS161,3OAS1611
3OAS180,3OAS1801
3OAS181,3OAS1811
3OAS60,3OAS601
ACOATA_b,ACOATA1_b
ACOATA_f,ACOATA1_f
ACPPAT120,ACPPAT1201
ACPPAT140,ACPPAT1401
ACPPAT141,ACPPAT1411
ACPPAT160,ACPPAT1601
ACPPAT161,ACPPAT1611
ACPPAT180,ACPPAT1801
ACPPAT181,ACPPAT1811
ACPS1,ACPS11
AGPAT120,AGPAT1201
AGPAT140,AGPAT1401
AGPAT141,AGPAT1411
AGPAT160,AGPAT1601
AGPAT161,AGPAT1611
AGPAT180,AGPAT1801
AGPAT181,AGPAT1811
AOXSr2,AOXSr21
DSBAO1,DSBAO11
DSBAO2,DSBAO21
DSBCGT,DSBCGT1
DSBDR,DSBDR1
DSBDR,DSBDR2
DSBGGT,DSBGGT1
EAR100x,EAR100x1
EAR100y,EAR100y1
EAR120x,EAR120x1
EAR120y,EAR120y1
EAR121x,EAR121x1
EAR121y,EAR121y1
EAR140x,EAR140x1
EAR140y,EAR140y1
EAR141x,EAR141x1
EAR141y,EAR141y1
EAR160x,EAR160x1
EAR160y,EAR160y1
EAR161x,EAR161x1
EAR161y,EAR161y1
EAR180x,EAR180x1
EAR180y,EAR180y1
EAR181x,EAR181x1
EAR181y,EAR181y1
EAR40x,EAR40x1
EAR40y,EAR40y1
EAR60x,EAR60x1
EAR60y,EAR60y1
EAR80x,EAR80x1
EAR80y,EAR80y1
EDTXS1,EDTXS11
EDTXS2,EDTXS21
EDTXS3,EDTXS31
EDTXS4,EDTXS41
EGMEACPR,EGMEACPR1
EPMEACPR,EPMEACPR1
FA100ACPHi,FA100ACPHi1
FA120ACPHi,FA120ACPHi1
FA140ACPHi,FA140ACPHi1
FA141ACPHi,FA141ACPHi1
