react_id,kappmax_davidi_per_pp_per_s_repl,kappmax_davidi_per_pp_per_s_NULL_med,kappmax_KO_ALE_davidi_per_pp_per_s_repl,kappmax_KO_ALE_davidi_per_pp_per_s_NULL_med,kappmax_KO_ALE_per_pp_per_s_repl,kappmax_KO_ALE_per_pp_per_s_NULL_med,kcat_iv_ML_per_AS_per_s_repl,kcat_iv_ML_per_AS_per_s_NULL_med
12DGR120tipp,5.760042456170269,6.2,12.8197036018068,4.2,7.098511644660139,3.2680205804032005,17.352714769373698,16.616666665
12DGR140tipp,5.760042456170269,6.2,12.8197036018068,4.2,7.098511644660139,3.2680205804032005,17.352714769373698,16.616666665
12DGR141tipp,5.760042456170269,6.2,12.8197036018068,4.2,7.098511644660139,3.2680205804032005,17.352714769373698,16.616666665
12DGR160tipp,5.760042456170269,6.2,12.8197036018068,4.2,7.098511644660139,3.2680205804032005,17.352714769373698,16.616666665
12DGR161tipp,5.760042456170269,6.2,12.8197036018068,4.2,7.098511644660139,3.2680205804032005,17.352714769373698,16.616666665
12DGR180tipp,5.760042456170269,6.2,12.8197036018068,4.2,7.098511644660139,3.2680205804032005,17.352714769373698,16.616666665
12DGR181tipp,5.760042456170269,6.2,12.8197036018068,4.2,7.098511644660139,3.2680205804032005,17.352714769373698,16.616666665
12PPDRtex_f,26.7276713074407,6.2,16.3738521832056,4.2,2.27886986505855,3.2680205804032005,85.5179923917316,16.616666665
12PPDRtex_b,26.7276713074407,6.2,16.3738521832056,4.2,2.27886986505855,3.2680205804032005,85.5179923917316,16.616666665
12PPDRtpp_f,5.760042456170269,6.2,12.8197036018068,4.2,7.098511644660139,3.2680205804032005,17.352714769373698,16.616666665
12PPDRtpp_b,5.760042456170269,6.2,12.8197036018068,4.2,7.098511644660139,3.2680205804032005,17.352714769373698,16.616666665
12PPDStex_f,26.7276713074407,6.2,16.3738521832056,4.2,2.27886986505855,3.2680205804032005,85.5179923917316,16.616666665
12PPDStex_b,26.7276713074407,6.2,16.3738521832056,4.2,2.27886986505855,3.2680205804032005,85.5179923917316,16.616666665
12PPDStpp_f,5.760042456170269,6.2,12.8197036018068,4.2,7.098511644660139,3.2680205804032005,17.352714769373698,16.616666665
12PPDStpp_b,5.760042456170269,6.2,12.8197036018068,4.2,7.098511644660139,3.2680205804032005,17.352714769373698,16.616666665
13PPDH2_f,4.38262010505479,6.2,10.0193056436704,4.2,2.79183856861928,3.2680205804032005,12.055695632551402,16.616666665
13PPDH2_b,5.431879619249179,6.2,8.77203237400417,4.2,3.28380442554245,3.2680205804032005,8.24074603859834,16.616666665
14GLUCANabcpp,21.069819692881,6.2,9.636534423949868,4.2,2.6517352020418103,3.2680205804032005,6.759456959872839,16.616666665
14GLUCANtexi,6.737944857108981,6.2,8.90619874463122,4.2,4.4288894829161,3.2680205804032005,17.0895700918179,16.616666665
23CAMPtex_f,26.7276713074407,6.2,16.3738521832056,4.2,2.27886986505855,3.2680205804032005,85.5179923917316,16.616666665
23CAMPtex_b,26.7276713074407,6.2,16.3738521832056,4.2,2.27886986505855,3.2680205804032005,85.5179923917316,16.616666665
23CCMPtex_f,26.7276713074407,6.2,16.3738521832056,4.2,2.27886986505855,3.2680205804032005,85.5179923917316,16.616666665
23CCMPtex_b,26.7276713074407,6.2,16.3738521832056,4.2,2.27886986505855,3.2680205804032005,85.5179923917316,16.616666665
23CGMPtex_f,26.7276713074407,6.2,16.3738521832056,4.2,2.27886986505855,3.2680205804032005,85.5179923917316,16.616666665
23CGMPtex_b,26.7276713074407,6.2,16.3738521832056,4.2,2.27886986505855,3.2680205804032005,85.5179923917316,16.616666665
23CUMPtex_f,26.7276713074407,6.2,16.3738521832056,4.2,2.27886986505855,3.2680205804032005,85.5179923917316,16.616666665
23CUMPtex_b,26.7276713074407,6.2,16.3738521832056,4.2,2.27886986505855,3.2680205804032005,85.5179923917316,16.616666665
23DAPPAt2pp,5.760042456170269,6.2,12.8197036018068,4.2,7.098511644660139,3.2680205804032005,17.352714769373698,16.616666665
23DAPPAtex_f,26.7276713074407,6.2,16.3738521832056,4.2,2.27886986505855,3.2680205804032005,85.5179923917316,16.616666665
23DAPPAtex_b,26.7276713074407,6.2,16.3738521832056,4.2,2.27886986505855,3.2680205804032005,85.5179923917316,16.616666665
23DOGULNt4pp,11.086242064999402,6.2,8.47689495031507,4.2,3.0532554178349303,3.2680205804032005,10.524136243268801,16.616666665
23PDE2pp,22.3959762226317,6.2,24.9412421205754,4.2,3.5404251892111898,3.2680205804032005,14.436236593256302,16.616666665
23PDE4pp,22.3959762226317,6.2,24.9412421205754,4.2,3.5404251892111898,3.2680205804032005,14.436236593256302,16.616666665
23PDE7pp,22.3959762226317,6.2,24.9412421205754,4.2,3.5404251892111898,3.2680205804032005,14.436236593256302,16.616666665
23PDE9pp,22.3959762226317,6.2,24.9412421205754,4.2,3.5404251892111898,3.2680205804032005,14.436236593256302,16.616666665
26DAHtex_f,26.7276713074407,6.2,16.3738521832056,4.2,2.27886986505855,3.2680205804032005,85.5179923917316,16.616666665
26DAHtex_b,26.7276713074407,6.2,16.3738521832056,4.2,2.27886986505855,3.2680205804032005,85.5179923917316,16.616666665
2AGPA120tipp,5.19569348980423,6.2,6.13599233988454,4.2,3.7439897412651497,3.2680205804032005,18.1935422230535,16.616666665
2AGPA140tipp,5.19569348980423,6.2,6.13599233988454,4.2,3.7439897412651497,3.2680205804032005,18.1935422230535,16.616666665
2AGPA141tipp,5.19569348980423,6.2,6.13599233988454,4.2,3.7439897412651497,3.2680205804032005,18.1935422230535,16.616666665
