"","bnum","react_id","all_r_per_g_homo","name","organism","reversible","direction","one_to_one"
"1","b0003","HSK",TRUE,"thrB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"2","b0004","4HTHRS",TRUE,"thrC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"3","b0004","THRS",TRUE,"thrC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"4","b0007","ALAt4pp",TRUE,"yaaJ","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"5","b0007","GLYt4pp",TRUE,"yaaJ","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"6","b0009","MPTAT",TRUE,"mog","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"7","b0019","NAt3_2pp",TRUE,"nhaA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"8","b0025","FMNAT",TRUE,"ribF","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"9","b0025","RBFK",TRUE,"ribF","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"10","b0026","ILETRS",TRUE,"ileS","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"11","b0029","DMPPS",TRUE,"ispH","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"12","b0029","IPDPS",TRUE,"ispH","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"13","b0030","ADNUC",FALSE,"rihC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"14","b0030","XTSNH",FALSE,"rihC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"15","b0030","INSH",FALSE,"rihC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"16","b0031","DHDPRy",TRUE,"dapB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"17","b0036","CRNCAR",TRUE,"caiD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"18","b0036","CRNCDH",TRUE,"caiD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"1710","b0036","CRNCAR_b",TRUE,"caiD","Escherichia coli str. K-12 substr. MG1655",FALSE,"bwd",FALSE
"1810","b0036","CRNCDH_b",TRUE,"caiD","Escherichia coli str. K-12 substr. MG1655",FALSE,"bwd",FALSE
"19","b0037","CRNCAL2",TRUE,"caiC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"20","b0037","CTBTCAL2",TRUE,"caiC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"21","b0037","CRNDCAL2",TRUE,"caiC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"22","b0038","CRNCBCT",TRUE,"caiB","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"23","b0038","CRNBTCT",TRUE,"caiB","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"2210","b0038","CRNCBCT_b",TRUE,"caiB","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"2310","b0038","CRNBTCT_b",TRUE,"caiB","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"24","b0040","CRNt8pp",TRUE,"caiT","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"25","b0040","CRNt7pp",TRUE,"caiT","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"26","b0049","GP4GH",TRUE,"apaH","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"27","b0049","AP4AH",TRUE,"apaH","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"28","b0049","AP5AH",TRUE,"apaH","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"29","b0062","ARAI",TRUE,"araA","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",TRUE
"2910","b0062","ARAI_b",TRUE,"araA","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",TRUE
"30","b0063","RBK_L1",FALSE,"araB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"31","b0073","IPMD",TRUE,"leuB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"32","b0074","IPPS",TRUE,"leuA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"33","b0085","UAAGDS",TRUE,"murE","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"34","b0086","UGMDDS",TRUE,"murF","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"35","b0087","PAPPT3",TRUE,"mraY","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"36","b0088","UAMAGS",TRUE,"murD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"37","b0090","UAGPT3",TRUE,"murG","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"38","b0091","UAMAS",TRUE,"murC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"39","b0096","UHGADA",TRUE,"lpxC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"40","b0103","DPCOAK",TRUE,"coaE","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"41","b0104","GMPR",TRUE,"guaC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"42","b0109","NNDPR",TRUE,"nadC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"43","b0110","AGM3PA",TRUE,"ampD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"44","b0110","AM4PA",TRUE,"ampD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"45","b0110","AGM4PA",TRUE,"ampD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"46","b0110","AM3PA",TRUE,"ampD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"47","b0112","HISt2rpp",FALSE,"aroP","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"4710","b0112","HISt2rpp_b",FALSE,"aroP","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"48","b0118","MICITDr",FALSE,"acnB","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"4810","b0118","MICITDr_b",FALSE,"acnB","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"49","b0120","ADMDC",TRUE,"speD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"50","b0121","APCS",TRUE,"speE","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"51","b0121","SPMS",TRUE,"speE","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"52","b0123","FEROpp",TRUE,"cueO","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"53","b0123","CU1Opp",TRUE,"cueO","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"54","b0131","ASP1DC",TRUE,"panD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"55","b0133","PANTS",TRUE,"panC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"56","b0134","MOHMT",TRUE,"panB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"57","b0142","HPPK2",TRUE,"folK","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"58","b0154","G1SAT",TRUE,"hemL","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",TRUE
"5810","b0154","G1SAT_b",TRUE,"hemL","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",TRUE
"59","b0159","MTAN",TRUE,"mtn","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"60","b0159","AHCYSNS",TRUE,"mtn","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"61","b0159","5DOAN",TRUE,"mtn","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"62","b0160","NTPTP2",TRUE,"dgt","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"63","b0160","NTPTP1",TRUE,"dgt","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"64","b0166","THDPS",TRUE,"dapD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"65","b0173","DXPRIi",TRUE,"dxr","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"66","b0174","UDCPDPS",TRUE,"ispU","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"67","b0175","DASYN140",TRUE,"cdsA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"68","b0175","DASYN120",TRUE,"cdsA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"69","b0175","DASYN161",TRUE,"cdsA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"70","b0175","DASYN181",TRUE,"cdsA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"71","b0175","DASYN180",TRUE,"cdsA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"72","b0175","DASYN141",TRUE,"cdsA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"73","b0175","DASYN160",TRUE,"cdsA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"74","b0179","U23GAAT",TRUE,"lpxD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"75","b0180","OGMEACPD",FALSE,"fabZ","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"76","b0180","OPMEACPD",FALSE,"fabZ","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"77","b0182","LPADSS",TRUE,"lpxB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"78","b0194","PROTRS",TRUE,"proS","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"79","b0200","GMHEPPA",TRUE,"gmhB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"80","b0212","GLYOX",TRUE,"gloB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"81","b0221","ACOAD4f",TRUE,"fadE","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"82","b0221","ACOAD5f",TRUE,"fadE","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"83","b0221","ACOAD8f",TRUE,"fadE","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"84","b0221","ACOAD1f",TRUE,"fadE","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"85","b0221","ACOAD7f",TRUE,"fadE","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"86","b0221","ACOAD6f",TRUE,"fadE","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"87","b0221","ACOAD2f",TRUE,"fadE","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"88","b0221","ACOAD3f",TRUE,"fadE","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"8110","b0221","ACOAD4f_b",TRUE,"fadE","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"8210","b0221","ACOAD5f_b",TRUE,"fadE","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"8310","b0221","ACOAD8f_b",TRUE,"fadE","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"8410","b0221","ACOAD1f_b",TRUE,"fadE","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"8510","b0221","ACOAD7f_b",TRUE,"fadE","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"8610","b0221","ACOAD6f_b",TRUE,"fadE","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"8710","b0221","ACOAD2f_b",TRUE,"fadE","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"8810","b0221","ACOAD3f_b",TRUE,"fadE","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"89","b0222","S7PI",TRUE,"gmhA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"90","b0237","LALGP",FALSE,"pepD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"91","b0238","XPPT",FALSE,"gpt","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"92","b0242","GLU5K",TRUE,"proB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"93","b0243","G5SD",TRUE,"proA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
