"","bnum","react_id","all_r_per_g_homo","name","organism","reversible","direction","one_to_one"
"94","b0260","MMETt2pp",TRUE,"mmuP","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"95","b0261","HCYSMT2",TRUE,"mmuM","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"96","b0261","HCYSMT",TRUE,"mmuM","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"97","b0311","CHOLD",TRUE,"betA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"98","b0312","BETALDHx",TRUE,"betB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"99","b0312","BETALDHy",TRUE,"betB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"100","b0331","MCITL2",TRUE,"prpB","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",TRUE
"10010","b0331","MCITL2_b",TRUE,"prpB","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",TRUE
"101","b0333","MCITS",TRUE,"prpC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"102","b0334","MCITD",TRUE,"prpD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"103","b0336","CSNt2pp",TRUE,"codB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"104","b0337","CSND",TRUE,"codA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"105","b0340","CYNTAH",TRUE,"cynS","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"106","b0341","CYNTt2pp",TRUE,"cynX","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"107","b0343","LCTStpp",TRUE,"lacY","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"10710","b0343","LCTStpp_b",TRUE,"lacY","Escherichia coli str. K-12 substr. MG1655",FALSE,"bwd",TRUE
"108","b0344","LACZ",TRUE,"lacZ","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"109","b0347","3HCINNMH",TRUE,"mhpA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"110","b0347","3HPPPNH",TRUE,"mhpA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"111","b0348","HPPPNDO",TRUE,"mhpB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"112","b0348","DHCINDO",TRUE,"mhpB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"113","b0349","HKNTDH",TRUE,"mhpC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"114","b0349","HKNDDH",TRUE,"mhpC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"115","b0350","OP4ENH",TRUE,"mhpD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"116","b0352","HOPNTAL",TRUE,"mhpE","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"117","b0353","HCINNMt2rpp",TRUE,"mhpT","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"118","b0353","HPPPNt2rpp",TRUE,"mhpT","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"11710","b0353","HCINNMt2rpp_b",TRUE,"mhpT","Escherichia coli str. K-12 substr. MG1655",FALSE,"bwd",FALSE
"11810","b0353","HPPPNt2rpp_b",TRUE,"mhpT","Escherichia coli str. K-12 substr. MG1655",FALSE,"bwd",FALSE
"119","b0356","ALCD19",FALSE,"frmA","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"120","b0356","FALDH2",FALSE,"frmA","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"11910","b0356","ALCD19_b",FALSE,"frmA","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"12010","b0356","FALDH2_b",FALSE,"frmA","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"121","b0368","TAUDO",TRUE,"tauD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"122","b0369","PPBNGS",TRUE,"hemB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"123","b0383","PPTHpp",TRUE,"phoA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"124","b0386","P5CR",TRUE,"proC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"125","b0394","HEX7",TRUE,"mak","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"126","b0401","ILEt2rpp",FALSE,"brnQ","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"127","b0401","LEUt2rpp",FALSE,"brnQ","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"1261","b0401","ILEt2rpp_b",FALSE,"brnQ","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"1271","b0401","LEUt2rpp_b",FALSE,"brnQ","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"128","b0403","MLTG4",TRUE,"malZ","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"129","b0403","MLTG3",TRUE,"malZ","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"130","b0403","MLTG1",TRUE,"malZ","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"131","b0403","MLTG5",TRUE,"malZ","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"132","b0403","MLTG2",TRUE,"malZ","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"133","b0404","FA141ACPHi",TRUE,"acpH","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"134","b0404","FA120ACPHi",TRUE,"acpH","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"135","b0404","FA160ACPHi",TRUE,"acpH","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"136","b0404","FA140ACPHi",TRUE,"acpH","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"137","b0404","FA100ACPHi",TRUE,"acpH","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"138","b0404","FA161ACPHi",TRUE,"acpH","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"139","b0404","FA80ACPHi",TRUE,"acpH","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"140","b0411","DCYTtex",TRUE,"tsx","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"141","b0411","URItex",TRUE,"tsx","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"142","b0411","INStex",TRUE,"tsx","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"143","b0411","ADNtex",TRUE,"tsx","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"144","b0411","DURItex",TRUE,"tsx","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"145","b0411","GUAtex",TRUE,"tsx","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"146","b0411","DADNtex",TRUE,"tsx","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"1401","b0411","DCYTtex_b",TRUE,"tsx","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"1411","b0411","URItex_b",TRUE,"tsx","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"1421","b0411","INStex_b",TRUE,"tsx","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"1431","b0411","ADNtex_b",TRUE,"tsx","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"1441","b0411","DURItex_b",TRUE,"tsx","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"1451","b0411","GUAtex_b",TRUE,"tsx","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"1461","b0411","DADNtex_b",TRUE,"tsx","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"147","b0414","DHPPDA2",TRUE,"ribD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"148","b0414","APRAUR",TRUE,"ribD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"149","b0415","RBFSb",TRUE,"ribE","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"150","b0417","TMPK",TRUE,"thiL","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"151","b0420","DXPS",TRUE,"dxs","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"152","b0421","DMATT",TRUE,"ispA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"153","b0421","GRTT",TRUE,"ispA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"154","b0428","HEMEOS",TRUE,"cyoE","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"155","b0433","AGMt2pp",TRUE,"ampG","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"156","b0433","AGM3Pt2pp",TRUE,"ampG","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"157","b0433","AGM4Pt2pp",TRUE,"ampG","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"158","b0444","CCGS",TRUE,"queC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"159","b0451","NH4tpp",TRUE,"amtB","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",TRUE
"1591","b0451","NH4tpp_b",TRUE,"amtB","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",TRUE
"160","b0452","FACOAE181",TRUE,"tesB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"161","b0452","FACOAE60",TRUE,"tesB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"162","b0452","FACOAE160",TRUE,"tesB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"163","b0452","FACOAE140",TRUE,"tesB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"164","b0452","FACOAE100",TRUE,"tesB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"165","b0452","FACOAE120",TRUE,"tesB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"166","b0452","FACOAE80",TRUE,"tesB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"167","b0452","FACOAE141",TRUE,"tesB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"168","b0452","FACOAE180",TRUE,"tesB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"169","b0452","FACOAE161",TRUE,"tesB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"170","b0459","MALTATr",TRUE,"maa","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"171","b0459","GLCATr",TRUE,"maa","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"1701","b0459","MALTATr_b",TRUE,"maa","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"1711","b0459","GLCATr_b",TRUE,"maa","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"172","b0469","ADPT",TRUE,"apt","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"173","b0474","ADK1",FALSE,"adk","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"174","b0474","DADK",FALSE,"adk","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"175","b0474","ADK3",FALSE,"adk","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"176","b0474","ADK4",FALSE,"adk","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd",FALSE
"177","b0474","ADNK1",FALSE,"adk","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"1731","b0474","ADK1_b",FALSE,"adk","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"1741","b0474","DADK_b",FALSE,"adk","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"1751","b0474","ADK3_b",FALSE,"adk","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"1761","b0474","ADK4_b",FALSE,"adk","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd",FALSE
"178","b0475","FCLT",TRUE,"hemH","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"179","b0477","GSNK",TRUE,"gsk","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"180","b0477","INSK",TRUE,"gsk","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"181","b0480","UACGAMPpp",FALSE,"ushA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"182","b0480","UDPGPpp",FALSE,"ushA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"183","b0480","UDPGALPpp",FALSE,"ushA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"184","b0480","UGLCURPpp",FALSE,"ushA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"185","b0480","UACGALPpp",FALSE,"ushA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"186","b0484","CU1abcpp",TRUE,"copA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",TRUE
"187","b0494","LPLIPAL1A181pp",TRUE,"tesA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"188","b0494","LPLIPAL1A161pp",TRUE,"tesA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"189","b0494","LPLIPAL1E120pp",TRUE,"tesA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"190","b0494","LPLIPAL1G180pp",TRUE,"tesA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"191","b0494","LPLIPAL1G141pp",TRUE,"tesA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
"192","b0494","LPLIPAL1A141pp",TRUE,"tesA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd",FALSE
