"","bnum","react_id","all_r_per_g_homo","name","organism","reversible","direction"
"1","b0003","HSK",TRUE,"thrB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"6","b0009","MPTAT",TRUE,"mog","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"7","b0019","NAt3_2pp",TRUE,"nhaA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"10","b0026","ILETRS",TRUE,"ileS","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"16","b0031","DHDPRy",TRUE,"dapB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"29","b0062","ARAI",TRUE,"araA","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"291","b0062","ARAI_b",TRUE,"araA","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"31","b0073","IPMD",TRUE,"leuB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"32","b0074","IPPS",TRUE,"leuA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"33","b0085","UAAGDS",TRUE,"murE","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"34","b0086","UGMDDS",TRUE,"murF","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"35","b0087","PAPPT3",TRUE,"mraY","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"36","b0088","UAMAGS",TRUE,"murD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"37","b0090","UAGPT3",TRUE,"murG","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"38","b0091","UAMAS",TRUE,"murC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"39","b0096","UHGADA",TRUE,"lpxC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"40","b0103","DPCOAK",TRUE,"coaE","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"41","b0104","GMPR",TRUE,"guaC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"42","b0109","NNDPR",TRUE,"nadC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"49","b0120","ADMDC",TRUE,"speD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"54","b0131","ASP1DC",TRUE,"panD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"55","b0133","PANTS",TRUE,"panC","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"56","b0134","MOHMT",TRUE,"panB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"57","b0142","HPPK2",TRUE,"folK","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"58","b0154","G1SAT",TRUE,"hemL","Escherichia coli str. K-12 substr. MG1655",TRUE,"fwd"
"582","b0154","G1SAT_b",TRUE,"hemL","Escherichia coli str. K-12 substr. MG1655",TRUE,"bwd"
"64","b0166","THDPS",TRUE,"dapD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"65","b0173","DXPRIi",TRUE,"dxr","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"66","b0174","UDCPDPS",TRUE,"ispU","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"74","b0179","U23GAAT",TRUE,"lpxD","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"77","b0182","LPADSS",TRUE,"lpxB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"78","b0194","PROTRS",TRUE,"proS","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"79","b0200","GMHEPPA",TRUE,"gmhB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"80","b0212","GLYOX",TRUE,"gloB","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
"89","b0222","S7PI",TRUE,"gmhA","Escherichia coli str. K-12 substr. MG1655",FALSE,"fwd"
