Strain Name,sample type,Strain Alias,sample_id
evo04Evo01EP,clone,CCK Evo01EP I1 R1,EVO1
evo04Evo02EP,clone,CCK Evo02EP I1 R1,EVO2
pgiEvo01EP,clone,CCK pgiEvo01EP I2 R1,pgiEVO1
pgiEvo02EP,clone,CCK pgiEvo02EP I1 R1,pgiEVO2
pgiEvo03EP,clone,CCK pgiEvo03EP I2 R1,pgiEVO3
pgiEvo04EP,clone,CCK pgiEvo04EP I1 R1,pgiEVO4
pgiEvo05EP,clone,CCK pgiEvo05EP I1 R1,pgiEVO5
pgiEvo06EP,clone,CCK pgiEvo06EP I1 R1,pgiEVO6
pgiEvo07EP,clone,CCK pgiEvo07EP I1 R1,pgiEVO7
pgiEvo08EP,clone,CCK pgiEvo08EP I1 R1,pgiEVO8
ptsHIcrrEvo01EP,clone,CCK ptsHUcrrEvo01EP I1 R1,ptsEvo1
ptsHIcrrEvo02EP,clone,CCK ptsHUcrrEvo02EP I2 R1,ptsEvo2
ptsHIcrrEvo03EP,clone,CCK ptsHUcrrEvo03EP I2 R1,ptsEvo3
ptsHIcrrEvo04EP,clone,CCK ptsHUcrrEvo04EP I2 R1,ptsEvo4
sdhCBEvo01EP,clone,CCK sdhCBEvo01EP I2 R1,sdhEvo1
sdhCBEvo02EP,clone,CCK sdhCBEvo02EP I1 R1,sdhEvo2
sdhCBEvo03EP,clone,CCK sdhCBEvo03EP I2 R1,sdhEvo3
tpiAEvo01EP,clone,CCK tpiAEvo01EP I2 R1,tpiEvo1
tpiAEvo02EP,clone,CCK tpiAEvo02EP I1 R1,tpiEvo2
tpiAEvo03EP,clone,CCK tpiAEvo03EP I1 R1,tpiEvo3
tpiAEvo04EP,clone,CCK tpiAEvo04EP I1 R1,tpiEvo4
